0,9WWXD1MXD0,2018-05-22,"2018-04-15 11:15:49.400",0,0.1,7.49,SUSPENDED
1,N4S5L8XF1N,2018-03-05,"2018-12-20 19:32:57.071",1,0.05,66.16,PENDING
2,TKLV4C312F,2018-09-08,"2018-06-22 11:04:05.636",1,0.63,74.64,ACTIVE
3,W9H2U9RGUB,2018-01-12,"2018-01-09 00:51:39.340",1,0.35,98.69,DISABLED
4,WOM6AE32O7,2018-08-11,"2018-03-03 21:15:15.027",1,0.42,53.2,ACTIVE
5,6BEGNQFU8K,2018-03-21,"2018-09-12 19:56:58.846",0,0.61,10.21,SUSPENDED
6,EKCOFYHODN,2018-06-13,"2018-11-22 21:09:14.057",1,0.46,87.73,DISABLED
7,18P3E99N82,2018-04-09,"2018-11-20 21:00:39.023",0,0.18,52.56,PENDING
8,1ZQ7WCK88N,2018-07-11,"2018-03-17 01:28:36.521",1,0.88,52.85,DISABLED
9,2RCQ17MMEA,2018-12-21,"2018-02-19 07:50:44.764",0,0.56,34.18,DISABLED
10,YJX952IMJP,2018-10-14,"2018-05-15 03:57:59.539",1,0.71,35.02,ACTIVE
11,9T38X5BE3T,2018-09-17,"2018-07-15 21:12:54.135",1,0.71,88.68,SUSPENDED
12,JE4L2JNCTM,2018-06-25,"2018-05-07 13:12:31.420",1,0.4,,PENDING
13,9FG9RZK3WE,2018-08-18,"2018-05-24 03:20:25.538",1,0.87,71.16,DISABLED
14,PXVHGDVUBC,2018-08-27,"2018-08-02 21:31:32.633",0,0.61,36.56,ACTIVE
15,PTKX2QSIXW,2018-11-19,"2018-03-22 23:35:55.565",1,0.66,82.82,ACTIVE
16,Q8M0OUJISR,2018-02-21,"2018-06-10 13:22:48.283",1,0.5,51.63,ACTIVE
17,TV90RL3045,2018-09-25,"2018-01-29 11:57:28.688",0,0.45,43.84,ACTIVE
18,F2O0KVSNPK,2018-05-22,"2018-09-15 11:29:58.490",1,0.47,49.04,ACTIVE
19,2V091M1VWE,2018-05-10,"2018-12-23 11:08:11.944",0,0.97,3.7,PENDING
20,URPDHHIHV6,2018-12-03,"2018-06-20 02:08:11.941",1,0.49,63.1,DISABLED
21,ER1HQDD205,2018-04-26,"2018-04-26 20:55:20.937",0,0.95,45.47,ACTIVE
22,FTMIDQMNRF,2018-12-20,"2018-06-26 04:06:51.703",0,0.69,,PENDING
23,1A9P7KFF3Q,2018-09-14,"2018-10-29 11:14:33.024",0,0.81,84.73,ACTIVE
24,TYK3SNY62S,2018-12-14,"2018-11-28 14:52:53.405",0,0.19,7.25,DISABLED
25,FO1I6N5C2A,2018-08-10,"2018-04-16 12:09:19.095",1,0.75,95.43,ACTIVE
26,Q07HSNZJP3,2018-11-07,"2018-03-30 17:07:28.891",0,0.04,1.74,ACTIVE
27,3GLQH2UEEV,2018-04-29,"2018-06-06 09:22:47.378",1,0.33,0.79,PENDING
28,Q0B13WS909,2018-09-07,"2018-09-19 01:07:09.364",1,0.6,35.7,ACTIVE
29,9409DZ7FL7,2018-07-06,"2018-04-03 02:25:37.876",0,0.48,,ACTIVE
30,B4ZWAXCR0I,2018-10-26,"2018-01-20 16:26:44.054",1,0.1,38.01,SUSPENDED
31,BKM324CI2Y,2018-12-07,"2018-01-12 20:32:30.156",0,0.13,89.82,SUSPENDED
32,G11EIVY3MJ,2018-10-16,"2018-08-29 09:55:50.094",1,0.54,,SUSPENDED
33,XXRIUII1AA,2018-12-23,"2018-12-10 19:27:09.984",1,0.19,28.34,PENDING
34,CFJKBKB3GA,2018-07-06,"2018-08-30 06:24:33.894",1,0.09,29.65,PENDING
35,1XU1TZ86LD,2018-06-09,"2018-10-21 15:09:29.932",1,0.01,52.87,PENDING
36,P7IM7B2M0C,2018-08-14,"2018-02-19 07:14:43.482",0,0.29,36.03,SUSPENDED
37,EMS1G4XRIP,2018-07-17,"2018-06-23 16:28:39.303",0,0.6,44.66,SUSPENDED
38,TG7LQ5BBJD,2018-02-06,"2018-07-11 04:34:26.574",0,0.99,21.79,ACTIVE
39,7D2TG9CH1F,2018-07-25,"2018-12-16 10:50:02.467",1,0.41,60.71,ACTIVE
40,5366881PQI,2018-05-06,"2018-08-09 01:54:00.431",1,0.19,3.83,PENDING
41,3O64Q83K2X,2018-10-05,"2018-04-07 06:55:43.454",0,0.94,,PENDING
42,AC9ZM2JGAP,2018-06-09,"2018-06-09 02:24:14.862",1,0.23,31.98,ACTIVE
43,KNAJSLAZJX,2018-05-18,"2018-08-02 01:12:22.099",1,0.61,55.8,SUSPENDED
44,6LSAUYQEJ2,2018-12-02,"2018-01-27 03:29:21.701",1,0.33,0.59,DISABLED
45,8VECTEU301,2018-07-11,"2018-04-02 00:27:01.739",1,0.7,85.83,ACTIVE
46,WHMZ4K34L5,2018-03-18,"2018-02-17 05:41:20.569",1,0.4,79.53,SUSPENDED
47,RUVBJ4M45Z,2018-11-21,"2018-12-18 06:07:38.428",0,0.17,0.92,PENDING
48,U647LR6R2O,2018-03-04,"2018-08-21 20:24:52.343",1,0.61,12.42,SUSPENDED
49,WRIK31Y386,2018-07-17,"2018-10-20 08:38:00.042",0,0.63,84.3,ACTIVE
50,RHFQE65E1T,2018-10-06,"2018-07-12 01:03:43.591",1,0.47,,SUSPENDED
51,U5L75E0TK7,2018-12-04,"2018-06-19 09:35:14.868",1,0.26,47.3,PENDING
52,2CO0SQLXAJ,2018-05-28,"2018-08-03 20:30:07.561",0,0.81,63.36,DISABLED
53,D393H49V0J,2018-12-23,"2018-09-06 00:46:57.346",1,0.08,3.33,DISABLED
54,C4ZRDOM9YC,2018-10-20,"2018-02-26 23:18:04.981",0,0.18,42.82,PENDING
55,ZYZDL3IANJ,2018-02-22,"2018-08-22 21:25:57.619",1,0.45,80.49,SUSPENDED
56,R0P2OOF3X7,2018-12-01,"2019-01-01 15:56:11.477",0,0.02,58.94,ACTIVE
57,8UOJBFKH33,2018-10-01,"2018-07-07 03:21:24.686",1,0.75,78.9,SUSPENDED
58,1OFIIXTO28,2018-08-23,"2018-07-04 05:31:08.311",1,0.35,75.74,DISABLED
59,ESFDYUW7LS,2018-11-22,"2018-02-04 11:35:59.484",0,0.35,54.66,DISABLED
60,UTRPL44GE9,2018-01-03,"2018-07-02 04:14:19.846",1,0.26,55.65,ACTIVE
61,Z0GOBXTJPA,2018-10-25,"2018-03-02 15:24:03.484",0,0.79,,DISABLED
62,2G15J5CZTD,2018-08-18,"2018-11-16 19:00:21.451",1,0.85,76.91,PENDING
63,BDQ348F37N,2018-10-02,"2018-10-17 19:19:47.976",1,0.67,15.74,ACTIVE
64,QCPMYIIWZC,2018-06-29,"2018-07-23 22:15:06.290",0,0.43,48.71,DISABLED
65,UMUF1M5ZBG,2018-06-13,"2018-09-29 18:41:20.669",1,0.97,16.39,SUSPENDED
66,KD8VEYETF9,2018-03-02,"2018-02-22 01:02:01.692",1,0.36,70.57,DISABLED
67,Q0BBO16DH3,2018-05-07,"2018-05-29 09:45:22.903",0,0.53,66.69,SUSPENDED
68,JQNV2J5SFS,2018-08-02,"2018-04-17 15:59:45.988",0,0.64,63.49,PENDING
69,DHXW4S666R,2018-05-23,"2018-01-05 11:27:52.475",1,0.8,26.31,DISABLED
70,XOWL2FQ3J7,2018-05-18,"2018-12-28 16:34:20.773",0,0.05,67.28,ACTIVE
71,4B1QMVAOH3,2018-11-16,"2018-12-16 03:47:55.643",1,0.5,62.83,PENDING
72,3FPVPR0SCB,2018-11-26,"2018-09-19 10:07:36.198",1,0.61,75.09,ACTIVE
73,CFFEPPPS1F,2018-11-13,"2018-07-02 16:29:52.594",0,0.82,57.2,PENDING
74,C7NK3NPTXA,2018-12-28,"2018-02-23 18:16:41.529",0,0.26,62.75,DISABLED
75,L60UR1P7TZ,2018-07-15,"2018-12-06 17:51:03.759",1,0.87,15.58,ACTIVE
